Dataset,PoziomUszkodzen,Metoda,Model,AUC_srednia,AUC_std,Liczba_powtorzen
serce,20%,raw,RF,0.8369,0.0184,9
serce,20%,raw,XGBoost,0.8292,0.0159,9
serce,20%,remove_fill,MLP,0.6654,0.0386,9
serce,20%,remove_fill,NB,0.7544,0.0193,9
serce,20%,remove_fill,RF,0.8441,0.0126,9
serce,20%,remove_fill,XGBoost,0.8311,0.0178,9
serce,30%,all,MLP,0.7233,0.0132,9
serce,30%,all,NB,0.6877,0.0244,9
serce,30%,all,RF,0.8012,0.0174,9
serce,30%,all,XGBoost,0.7848,0.0186,9
serce,30%,fill,MLP,0.4521,0.0494,9
serce,30%,fill,NB,0.6205,0.0397,9
serce,30%,fill,RF,0.8129,0.0138,9
serce,30%,fill,XGBoost,0.789,0.0141,9
serce,30%,fill_norm,MLP,0.6479,0.0332,9
serce,30%,fill_norm,NB,0.621,0.0395,9
serce,30%,fill_norm,RF,0.8134,0.014,9
serce,30%,fill_norm,XGBoost,0.789,0.0141,9
serce,30%,raw,MLP,0.5165,0.0397,9
serce,30%,raw,NB,0.5267,0.0467,9
serce,30%,raw,RF,0.7819,0.0174,9
serce,30%,raw,XGBoost,0.7765,0.0153,9
serce,30%,remove_fill,MLP,0.6321,0.063,9
serce,30%,remove_fill,NB,0.6877,0.0244,9
serce,30%,remove_fill,RF,0.801,0.0169,9
serce,30%,remove_fill,XGBoost,0.7848,0.0186,9
serce,40%,all,MLP,0.6576,0.0334,9
serce,40%,all,NB,0.625,0.0318,9
serce,40%,all,RF,0.7401,0.036,9
serce,40%,all,XGBoost,0.7245,0.0257,9
serce,40%,fill,MLP,0.4622,0.0426,9
serce,40%,fill,NB,0.5644,0.0475,9
serce,40%,fill,RF,0.7444,0.0372,9
serce,40%,fill,XGBoost,0.7374,0.0318,9
serce,40%,fill_norm,MLP,0.569,0.0496,9
serce,40%,fill_norm,NB,0.5645,0.0474,9
serce,40%,fill_norm,RF,0.7443,0.0373,9
serce,40%,fill_norm,XGBoost,0.7374,0.0318,9
serce,40%,raw,MLP,0.4864,0.0292,9
serce,40%,raw,NB,0.4942,0.0386,9
serce,40%,raw,RF,0.6892,0.0433,9
serce,40%,raw,XGBoost,0.6994,0.0346,9
serce,40%,remove_fill,MLP,0.5016,0.0524,9
serce,40%,remove_fill,NB,0.625,0.0319,9
serce,40%,remove_fill,RF,0.7408,0.0355,9
serce,40%,remove_fill,XGBoost,0.7245,0.0257,9
serce,50%,all,MLP,0.6181,0.0558,9
serce,50%,all,NB,0.6108,0.0308,9
serce,50%,all,RF,0.7199,0.0771,9
serce,50%,all,XGBoost,0.7165,0.0712,9
serce,50%,fill,MLP,0.5078,0.0297,9
serce,50%,fill,NB,0.5997,0.035,9
serce,50%,fill,RF,0.7166,0.0835,9
serce,50%,fill,XGBoost,0.7154,0.0718,9
serce,50%,fill_norm,MLP,0.5812,0.0731,9
serce,50%,fill_norm,NB,0.6,0.0348,9
serce,50%,fill_norm,RF,0.7171,0.0832,9
serce,50%,fill_norm,XGBoost,0.7154,0.0718,9
serce,50%,raw,MLP,0.5098,0.0259,9
