Dataset,PoziomUszkodzen,Metoda,Model,DamageRepeat,CVRepeat,CVSeed,AUC
zapalenia,20%,raw,RF,2,3,303,0.877
zapalenia,20%,raw,RF,2,4,404,0.8785
zapalenia,20%,raw,RF,2,5,505,0.8855
zapalenia,20%,raw,NB,2,1,101,0.6301
zapalenia,20%,raw,NB,2,2,202,0.6559
zapalenia,20%,raw,NB,2,3,303,0.6301
zapalenia,20%,raw,NB,2,4,404,0.6507
zapalenia,20%,raw,NB,2,5,505,0.63
zapalenia,20%,raw,MLP,2,1,101,0.5657
zapalenia,20%,raw,MLP,2,2,202,0.6152
zapalenia,20%,raw,MLP,2,3,303,0.6031
zapalenia,20%,raw,MLP,2,4,404,0.6205
zapalenia,20%,raw,MLP,2,5,505,0.6281
zapalenia,20%,raw,XGBoost,2,1,101,0.8989
zapalenia,20%,raw,XGBoost,2,2,202,0.8943
zapalenia,20%,raw,XGBoost,2,3,303,0.9019
zapalenia,20%,raw,XGBoost,2,4,404,0.9013
zapalenia,20%,raw,XGBoost,2,5,505,0.9091
zapalenia,20%,norm,RF,2,1,101,0.8741
zapalenia,20%,norm,RF,2,2,202,0.8852
zapalenia,20%,norm,RF,2,3,303,0.8766
zapalenia,20%,norm,RF,2,4,404,0.8778
zapalenia,20%,norm,RF,2,5,505,0.8856
zapalenia,20%,norm,NB,2,1,101,0.63
zapalenia,20%,norm,NB,2,2,202,0.6557
zapalenia,20%,norm,NB,2,3,303,0.63
zapalenia,20%,norm,NB,2,4,404,0.6509
zapalenia,20%,norm,NB,2,5,505,0.6299
zapalenia,20%,norm,MLP,2,1,101,0.6172
zapalenia,20%,norm,MLP,2,2,202,0.6305
zapalenia,20%,norm,MLP,2,3,303,0.6273
zapalenia,20%,norm,MLP,2,4,404,0.6385
zapalenia,20%,norm,MLP,2,5,505,0.6467
zapalenia,20%,norm,XGBoost,2,1,101,0.8989
zapalenia,20%,norm,XGBoost,2,2,202,0.8943
zapalenia,20%,norm,XGBoost,2,3,303,0.9019
zapalenia,20%,norm,XGBoost,2,4,404,0.9013
zapalenia,20%,norm,XGBoost,2,5,505,0.9091
zapalenia,20%,fill,RF,2,1,101,0.862
zapalenia,20%,fill,RF,2,2,202,0.8553
zapalenia,20%,fill,RF,2,3,303,0.873
zapalenia,20%,fill,RF,2,4,404,0.8574
zapalenia,20%,fill,RF,2,5,505,0.8652
zapalenia,20%,fill,NB,2,1,101,0.6858
zapalenia,20%,fill,NB,2,2,202,0.7046
zapalenia,20%,fill,NB,2,3,303,0.6862
zapalenia,20%,fill,NB,2,4,404,0.6921
zapalenia,20%,fill,NB,2,5,505,0.6886
zapalenia,20%,fill,MLP,2,1,101,0.6193
zapalenia,20%,fill,MLP,2,2,202,0.6626
zapalenia,20%,fill,MLP,2,3,303,0.66
zapalenia,20%,fill,MLP,2,4,404,0.613
zapalenia,20%,fill,MLP,2,5,505,0.6616
zapalenia,20%,fill,XGBoost,2,1,101,0.8459
zapalenia,20%,fill,XGBoost,2,2,202,0.8457
zapalenia,20%,fill,XGBoost,2,3,303,0.8478
zapalenia,20%,fill,XGBoost,2,4,404,0.8637
zapalenia,20%,fill,XGBoost,2,5,505,0.8661
zapalenia,20%,remove,RF,2,1,101,0.8866
zapalenia,20%,remove,RF,2,2,202,0.8945
zapalenia,20%,remove,RF,2,3,303,0.8847
zapalenia,20%,remove,RF,2,4,404,0.8874
zapalenia,20%,remove,RF,2,5,505,0.8962
zapalenia,20%,remove,NB,2,1,101,0.5917
zapalenia,20%,remove,NB,2,2,202,0.5838
zapalenia,20%,remove,NB,2,3,303,0.5788
