Dataset,Model,Baseline,Metoda,n,Statystyka,p_value,Istotne_005,Znak_Istotnosci,Srednia_Delta,Test,Liczba_metod,Metody
serce,RF,raw,fill_norm,45,250.0,0.002532,TAK,**,-0.0141,Wilcoxon,,
serce,RF,raw,remove_fill,45,169.0,8.4e-05,TAK,***,-0.0218,Wilcoxon,,
serce,XGBoost,raw,all,45,395.0,0.166746,NIE,,-0.0103,Wilcoxon,,
serce,XGBoost,raw,all_knn,45,318.0,0.024328,TAK,*,-0.0141,Wilcoxon,,
serce,XGBoost,raw,fill,45,505.5,0.892255,NIE,,-0.0045,Wilcoxon,,
serce,XGBoost,raw,fill_knn,45,353.0,0.063337,NIE,,-0.0095,Wilcoxon,,
serce,XGBoost,raw,fill_norm,45,505.5,0.892255,NIE,,-0.0045,Wilcoxon,,
serce,XGBoost,raw,remove_fill,45,395.0,0.166746,NIE,,-0.0103,Wilcoxon,,
zapalenia,MLP,raw,all,45,0.0,0.0,TAK,***,0.2146,Wilcoxon,,
zapalenia,MLP,raw,all_knn,45,0.0,0.0,TAK,***,0.2171,Wilcoxon,,
zapalenia,MLP,raw,fill,45,491.0,0.764847,NIE,,0.0021,Wilcoxon,,
zapalenia,MLP,raw,fill_knn,45,344.0,0.078036,NIE,,-0.0078,Wilcoxon,,
zapalenia,MLP,raw,fill_norm,45,0.0,0.0,TAK,***,0.2445,Wilcoxon,,
zapalenia,MLP,raw,remove_fill,45,407.0,0.21664,NIE,,-0.0105,Wilcoxon,,
zapalenia,NB,raw,all,45,0.0,0.0,TAK,***,0.1801,Wilcoxon,,
zapalenia,NB,raw,all_knn,45,0.0,0.0,TAK,***,0.1812,Wilcoxon,,
zapalenia,NB,raw,fill,45,245.0,0.016192,TAK,*,-0.0006,Wilcoxon,,
zapalenia,NB,raw,fill_knn,45,126.0,1e-05,TAK,***,-0.0174,Wilcoxon,,
zapalenia,NB,raw,fill_norm,45,93.0,2e-06,TAK,***,-0.0418,Wilcoxon,,
zapalenia,NB,raw,remove_fill,45,16.0,0.0,TAK,***,0.1172,Wilcoxon,,
zapalenia,RF,raw,all,45,92.5,2e-06,TAK,***,-0.0223,Wilcoxon,,
zapalenia,RF,raw,all_knn,45,96.0,0.0,TAK,***,-0.0243,Wilcoxon,,
zapalenia,RF,raw,fill,45,292.5,0.011094,TAK,*,0.0037,Wilcoxon,,
zapalenia,RF,raw,fill_knn,45,440.0,0.381687,NIE,,-0.0013,Wilcoxon,,
zapalenia,RF,raw,fill_norm,45,299.0,0.013646,TAK,*,0.0036,Wilcoxon,,
zapalenia,RF,raw,remove_fill,45,94.0,0.0,TAK,***,-0.0224,Wilcoxon,,
zapalenia,XGBoost,raw,all,45,263.0,0.003475,TAK,**,-0.0099,Wilcoxon,,
zapalenia,XGBoost,raw,all_knn,45,197.0,0.000172,TAK,***,-0.0118,Wilcoxon,,
zapalenia,XGBoost,raw,fill,45,390.0,0.150101,NIE,,0.0029,Wilcoxon,,
zapalenia,XGBoost,raw,fill_knn,45,462.5,0.534718,NIE,,-0.0021,Wilcoxon,,
zapalenia,XGBoost,raw,fill_norm,45,390.0,0.150101,NIE,,0.0029,Wilcoxon,,
zapalenia,XGBoost,raw,remove_fill,45,263.0,0.003475,TAK,**,-0.0099,Wilcoxon,,
diabetes,MLP,,,45,143.6022,0.0,TAK,,,Friedman,7.0,"all, all_knn, fill, fill_knn, fill_norm, raw, remove_fill"
diabetes,NB,,,45,147.959,0.0,TAK,,,Friedman,7.0,"all, all_knn, fill, fill_knn, fill_norm, raw, remove_fill"
diabetes,RF,,,45,82.2704,0.0,TAK,,,Friedman,7.0,"all, all_knn, fill, fill_knn, fill_norm, raw, remove_fill"
diabetes,XGBoost,,,45,75.419,0.0,TAK,,,Friedman,7.0,"all, all_knn, fill, fill_knn, fill_norm, raw, remove_fill"
kredyty,MLP,,,45,124.1714,0.0,TAK,,,Friedman,7.0,"all, all_knn, fill, fill_knn, fill_norm, raw, remove_fill"
kredyty,NB,,,45,188.7582,0.0,TAK,,,Friedman,7.0,"all, all_knn, fill, fill_knn, fill_norm, raw, remove_fill"
kredyty,RF,,,45,11.1306,0.084424,NIE,,,Friedman,7.0,"all, all_knn, fill, fill_knn, fill_norm, raw, remove_fill"
kredyty,XGBoost,,,45,63.6593,0.0,TAK,,,Friedman,7.0,"all, all_knn, fill, fill_knn, fill_norm, raw, remove_fill"
rezygnacje,MLP,,,45,188.9619,0.0,TAK,,,Friedman,7.0,"all, all_knn, fill, fill_knn, fill_norm, raw, remove_fill"
rezygnacje,NB,,,45,179.4695,0.0,TAK,,,Friedman,7.0,"all, all_knn, fill, fill_knn, fill_norm, raw, remove_fill"
rezygnacje,RF,,,45,37.6283,1e-06,TAK,,,Friedman,7.0,"all, all_knn, fill, fill_knn, fill_norm, raw, remove_fill"
rezygnacje,XGBoost,,,45,56.4535,0.0,TAK,,,Friedman,7.0,"all, all_knn, fill, fill_knn, fill_norm, raw, remove_fill"
serce,MLP,,,45,200.581,0.0,TAK,,,Friedman,7.0,"all, all_knn, fill, fill_knn, fill_norm, raw, remove_fill"
serce,NB,,,45,112.4651,0.0,TAK,,,Friedman,7.0,"all, all_knn, fill, fill_knn, fill_norm, raw, remove_fill"
serce,RF,,,45,47.5276,0.0,TAK,,,Friedman,7.0,"all, all_knn, fill, fill_knn, fill_norm, raw, remove_fill"
serce,XGBoost,,,45,6.316,0.388733,NIE,,,Friedman,7.0,"all, all_knn, fill, fill_knn, fill_norm, raw, remove_fill"
zapalenia,MLP,,,45,208.5947,0.0,TAK,,,Friedman,7.0,"all, all_knn, fill, fill_knn, fill_norm, raw, remove_fill"
zapalenia,NB,,,45,209.8855,0.0,TAK,,,Friedman,7.0,"all, all_knn, fill, fill_knn, fill_norm, raw, remove_fill"
zapalenia,RF,,,45,102.7234,0.0,TAK,,,Friedman,7.0,"all, all_knn, fill, fill_knn, fill_norm, raw, remove_fill"
zapalenia,XGBoost,,,45,60.5778,0.0,TAK,,,Friedman,7.0,"all, all_knn, fill, fill_knn, fill_norm, raw, remove_fill"
