Dataset,PoziomUszkodzen,Metoda,Model,AUC_srednia,AUC_std,Liczba_powtorzen
kredyty,20%,fill_norm,MLP,0.5002,0.0315,9
kredyty,20%,fill_norm,NB,0.5716,0.0253,9
kredyty,20%,fill_norm,RF,0.6005,0.0215,9
kredyty,20%,fill_norm,XGBoost,0.6109,0.0442,9
kredyty,20%,raw,MLP,0.4795,0.0363,9
kredyty,20%,raw,NB,0.5417,0.0116,9
kredyty,20%,raw,RF,0.5992,0.0137,9
kredyty,20%,raw,XGBoost,0.6127,0.0334,9
kredyty,20%,remove_fill,MLP,0.4854,0.0467,9
kredyty,20%,remove_fill,NB,0.6056,0.017,9
kredyty,20%,remove_fill,RF,0.6014,0.0137,9
kredyty,20%,remove_fill,XGBoost,0.6063,0.024,9
kredyty,30%,all,MLP,0.5506,0.0385,9
kredyty,30%,all,NB,0.5691,0.0209,9
kredyty,30%,all,RF,0.5812,0.0268,9
kredyty,30%,all,XGBoost,0.5845,0.033,9
kredyty,30%,all_knn,MLP,0.5538,0.0303,9
kredyty,30%,all_knn,NB,0.5713,0.0216,9
kredyty,30%,all_knn,RF,0.5813,0.0294,9
kredyty,30%,all_knn,XGBoost,0.5733,0.0301,9
kredyty,30%,fill,MLP,0.4854,0.0268,9
kredyty,30%,fill,NB,0.5035,0.0177,9
kredyty,30%,fill,RF,0.5608,0.0422,9
kredyty,30%,fill,XGBoost,0.5726,0.0382,9
kredyty,30%,fill_knn,MLP,0.488,0.0256,9
kredyty,30%,fill_knn,NB,0.5105,0.0121,9
kredyty,30%,fill_knn,RF,0.5547,0.0464,9
kredyty,30%,fill_knn,XGBoost,0.5675,0.0435,9
kredyty,30%,fill_norm,MLP,0.5052,0.0247,9
kredyty,30%,fill_norm,NB,0.5654,0.0191,9
kredyty,30%,fill_norm,RF,0.561,0.0419,9
kredyty,30%,fill_norm,XGBoost,0.5726,0.0382,9
kredyty,30%,raw,MLP,0.474,0.0189,9
kredyty,30%,raw,NB,0.5076,0.0168,9
kredyty,30%,raw,RF,0.5564,0.0236,9
kredyty,30%,raw,XGBoost,0.5644,0.0284,9
kredyty,30%,remove_fill,MLP,0.5075,0.0508,9
kredyty,30%,remove_fill,NB,0.5703,0.0207,9
kredyty,30%,remove_fill,RF,0.5814,0.0276,9
kredyty,30%,remove_fill,XGBoost,0.5845,0.033,9
kredyty,40%,all,MLP,0.5162,0.0245,9
kredyty,40%,all,NB,0.5512,0.0304,9
kredyty,40%,all,RF,0.5464,0.0164,9
kredyty,40%,all,XGBoost,0.5579,0.0139,9
kredyty,40%,all_knn,MLP,0.5217,0.0241,9
kredyty,40%,all_knn,NB,0.553,0.0303,9
kredyty,40%,all_knn,RF,0.5399,0.0153,9
kredyty,40%,all_knn,XGBoost,0.5502,0.0168,9
kredyty,40%,fill,MLP,0.4793,0.0207,9
kredyty,40%,fill,NB,0.4983,0.0304,9
kredyty,40%,fill,RF,0.5401,0.0278,9
kredyty,40%,fill,XGBoost,0.5535,0.0141,9
kredyty,40%,fill_knn,MLP,0.4847,0.02,9
kredyty,40%,fill_knn,NB,0.5121,0.0197,9
kredyty,40%,fill_knn,RF,0.5471,0.0245,9
kredyty,40%,fill_knn,XGBoost,0.5474,0.013,9
kredyty,40%,fill_norm,MLP,0.4822,0.0229,9
kredyty,40%,fill_norm,NB,0.5454,0.0255,9
kredyty,40%,fill_norm,RF,0.5401,0.0283,9
kredyty,40%,fill_norm,XGBoost,0.5535,0.0141,9
kredyty,40%,raw,MLP,0.4866,0.0172,9
kredyty,40%,raw,NB,0.4917,0.0362,9
kredyty,40%,raw,RF,0.5275,0.025,9
kredyty,40%,raw,XGBoost,0.5443,0.0136,9
kredyty,40%,remove_fill,MLP,0.4772,0.0259,9
kredyty,40%,remove_fill,NB,0.5442,0.0257,9
kredyty,40%,remove_fill,RF,0.5457,0.0162,9
kredyty,40%,remove_fill,XGBoost,0.5579,0.0139,9
kredyty,50%,all,MLP,0.5074,0.0232,9
kredyty,50%,all,NB,0.5611,0.0209,9
kredyty,50%,all,RF,0.5401,0.0383,9
kredyty,50%,all,XGBoost,0.5871,0.0249,9
kredyty,50%,all_knn,MLP,0.4957,0.0177,9
kredyty,50%,all_knn,NB,0.5621,0.0199,9
kredyty,50%,all_knn,RF,0.5394,0.0291,9
kredyty,50%,all_knn,XGBoost,0.5582,0.0218,9
kredyty,50%,fill,MLP,0.4803,0.0153,9
kredyty,50%,fill,NB,0.5263,0.0514,9
kredyty,50%,fill,RF,0.5458,0.0253,9
kredyty,50%,fill,XGBoost,0.5799,0.0262,9
kredyty,50%,fill_knn,MLP,0.4704,0.0139,9
kredyty,50%,fill_knn,NB,0.5209,0.0417,9
kredyty,50%,fill_knn,RF,0.5463,0.0292,9
kredyty,50%,fill_knn,XGBoost,0.5541,0.0355,9
kredyty,50%,fill_norm,MLP,0.5097,0.0236,9
kredyty,50%,fill_norm,NB,0.5682,0.0226,9
kredyty,50%,fill_norm,RF,0.5456,0.0254,9
kredyty,50%,fill_norm,XGBoost,0.5799,0.0262,9
kredyty,50%,raw,MLP,0.4935,0.0152,9
kredyty,50%,raw,NB,0.5144,0.0526,9
kredyty,50%,raw,RF,0.5303,0.0272,9
kredyty,50%,raw,XGBoost,0.5545,0.0338,9
kredyty,50%,remove_fill,MLP,0.4871,0.0176,9
kredyty,50%,remove_fill,NB,0.5477,0.0416,9
kredyty,50%,remove_fill,RF,0.5402,0.0385,9
kredyty,50%,remove_fill,XGBoost,0.5871,0.0249,9
kredyty,ORYGINALNY,raw,MLP,0.459,0.0131,3
kredyty,ORYGINALNY,raw,NB,0.6316,0.0051,3
kredyty,ORYGINALNY,raw,RF,0.6839,0.0031,3
kredyty,ORYGINALNY,raw,XGBoost,0.6828,0.0105,3
rezygnacje,10%,all,MLP,0.7889,0.0176,9
rezygnacje,10%,all,NB,0.7684,0.0034,9
rezygnacje,10%,all,RF,0.8349,0.0085,9
rezygnacje,10%,all,XGBoost,0.8425,0.0104,9
rezygnacje,10%,all_knn,MLP,0.7992,0.0161,9
rezygnacje,10%,all_knn,NB,0.7691,0.0032,9
rezygnacje,10%,all_knn,RF,0.8367,0.0081,9
