Dataset,PoziomUszkodzen,Metoda,Model,AUC_srednia,AUC_std,Liczba_powtorzen
kredyty,20%,raw,MLP,0.4771,0.0199,9
kredyty,20%,raw,NB,0.5402,0.0266,9
kredyty,20%,raw,RF,0.5987,0.0127,9
kredyty,20%,raw,XGBoost,0.6135,0.0311,9
kredyty,20%,remove_fill,MLP,0.4854,0.0467,9
kredyty,20%,remove_fill,NB,0.6056,0.017,9
kredyty,20%,remove_fill,RF,0.6014,0.0137,9
kredyty,20%,remove_fill,XGBoost,0.6063,0.024,9
kredyty,30%,all,MLP,0.5506,0.0385,9
kredyty,30%,all,NB,0.5691,0.0209,9
kredyty,30%,all,RF,0.5812,0.0268,9
kredyty,30%,all,XGBoost,0.5845,0.033,9
kredyty,30%,all_knn,MLP,0.5538,0.0303,9
kredyty,30%,all_knn,NB,0.5713,0.0216,9
kredyty,30%,all_knn,RF,0.5813,0.0294,9
kredyty,30%,all_knn,XGBoost,0.5733,0.0301,9
kredyty,30%,fill,MLP,0.4854,0.0268,9
kredyty,30%,fill,NB,0.5035,0.0177,9
kredyty,30%,fill,RF,0.5608,0.0422,9
kredyty,30%,fill,XGBoost,0.5726,0.0382,9
kredyty,30%,fill_knn,MLP,0.488,0.0256,9
kredyty,30%,fill_knn,NB,0.5105,0.0121,9
kredyty,30%,fill_knn,RF,0.5547,0.0464,9
kredyty,30%,fill_knn,XGBoost,0.5675,0.0435,9
kredyty,30%,fill_norm,MLP,0.5052,0.0247,9
kredyty,30%,fill_norm,NB,0.5654,0.0191,9
kredyty,30%,fill_norm,RF,0.561,0.0419,9
kredyty,30%,fill_norm,XGBoost,0.5726,0.0382,9
kredyty,30%,raw,MLP,0.4933,0.0251,9
kredyty,30%,raw,NB,0.5237,0.0073,9
kredyty,30%,raw,RF,0.5568,0.0238,9
kredyty,30%,raw,XGBoost,0.5688,0.0321,9
kredyty,30%,remove_fill,MLP,0.5075,0.0508,9
kredyty,30%,remove_fill,NB,0.5703,0.0207,9
kredyty,30%,remove_fill,RF,0.5814,0.0276,9
kredyty,30%,remove_fill,XGBoost,0.5845,0.033,9
kredyty,40%,all,MLP,0.5162,0.0245,9
kredyty,40%,all,NB,0.5512,0.0304,9
kredyty,40%,all,RF,0.5464,0.0164,9
kredyty,40%,all,XGBoost,0.5579,0.0139,9
kredyty,40%,all_knn,MLP,0.5217,0.0241,9
kredyty,40%,all_knn,NB,0.553,0.0303,9
kredyty,40%,all_knn,RF,0.5399,0.0153,9
kredyty,40%,all_knn,XGBoost,0.5502,0.0168,9
