Dataset,PoziomUszkodzen,Metoda,Model,DamageRepeat,CVRepeat,CVSeed,AUC
diabetes,40%,remove_fill,RF,1,1,101,0.6648
diabetes,40%,remove_fill,RF,1,2,202,0.6537
diabetes,40%,remove_fill,NB,1,1,101,0.5008
diabetes,40%,remove_fill,NB,1,2,202,0.5337
diabetes,40%,remove_fill,XGBoost,1,1,101,0.689
diabetes,40%,remove_fill,XGBoost,1,2,202,0.6867
diabetes,40%,fill_norm,RF,1,1,101,0.6631
diabetes,40%,fill_norm,RF,1,2,202,0.6824
diabetes,40%,fill_norm,NB,1,1,101,0.5384
diabetes,40%,fill_norm,NB,1,2,202,0.5779
diabetes,40%,fill_norm,XGBoost,1,1,101,0.6852
diabetes,40%,fill_norm,XGBoost,1,2,202,0.693
diabetes,40%,all,RF,1,1,101,0.6652
diabetes,40%,all,RF,1,2,202,0.6538
diabetes,40%,all,NB,1,1,101,0.5008
diabetes,40%,all,NB,1,2,202,0.5337
diabetes,40%,all,XGBoost,1,1,101,0.689
diabetes,40%,all,XGBoost,1,2,202,0.6867
diabetes,40%,raw,RF,2,1,101,0.7054
diabetes,40%,raw,RF,2,2,202,0.7147
diabetes,40%,raw,NB,2,1,101,0.565
diabetes,40%,raw,NB,2,2,202,0.5497
diabetes,40%,raw,XGBoost,2,1,101,0.6988
diabetes,40%,raw,XGBoost,2,2,202,0.7206
diabetes,40%,fill,RF,2,1,101,0.7223
diabetes,40%,fill,RF,2,2,202,0.696
diabetes,40%,fill,NB,2,1,101,0.5586
diabetes,40%,fill,NB,2,2,202,0.5389
diabetes,40%,fill,XGBoost,2,1,101,0.7193
diabetes,40%,fill,XGBoost,2,2,202,0.7028
diabetes,40%,remove_fill,RF,2,1,101,0.7154
diabetes,40%,remove_fill,RF,2,2,202,0.7014
diabetes,40%,remove_fill,NB,2,1,101,0.5555
diabetes,40%,remove_fill,NB,2,2,202,0.5374
diabetes,40%,remove_fill,XGBoost,2,1,101,0.7339
diabetes,40%,remove_fill,XGBoost,2,2,202,0.7252
diabetes,40%,fill_norm,RF,2,1,101,0.7229
diabetes,40%,fill_norm,RF,2,2,202,0.6972
diabetes,40%,fill_norm,NB,2,1,101,0.5585
diabetes,40%,fill_norm,NB,2,2,202,0.5389
diabetes,40%,fill_norm,XGBoost,2,1,101,0.7193
diabetes,40%,fill_norm,XGBoost,2,2,202,0.7028
diabetes,40%,all,RF,2,1,101,0.714
diabetes,40%,all,RF,2,2,202,0.7011
diabetes,40%,all,NB,2,1,101,0.5555
diabetes,40%,all,NB,2,2,202,0.5375
diabetes,40%,all,XGBoost,2,1,101,0.7339
diabetes,40%,all,XGBoost,2,2,202,0.7252
diabetes,60%,raw,RF,1,1,101,0.5841
diabetes,60%,raw,RF,1,2,202,0.5466
diabetes,60%,raw,NB,1,1,101,0.5168
diabetes,60%,raw,NB,1,2,202,0.4505
diabetes,60%,raw,XGBoost,1,1,101,0.6167
diabetes,60%,raw,XGBoost,1,2,202,0.5867
diabetes,60%,fill,RF,1,1,101,0.6485
diabetes,60%,fill,RF,1,2,202,0.609
diabetes,60%,fill,NB,1,1,101,0.5145
diabetes,60%,fill,NB,1,2,202,0.4456
diabetes,60%,fill,XGBoost,1,1,101,0.6568
diabetes,60%,fill,XGBoost,1,2,202,0.6177
diabetes,60%,remove_fill,RF,1,1,101,0.6498
diabetes,60%,remove_fill,RF,1,2,202,0.6034
diabetes,60%,remove_fill,NB,1,1,101,0.5245
diabetes,60%,remove_fill,NB,1,2,202,0.4738
diabetes,60%,remove_fill,XGBoost,1,1,101,0.654
diabetes,60%,remove_fill,XGBoost,1,2,202,0.6312
diabetes,60%,fill_norm,RF,1,1,101,0.6476
diabetes,60%,fill_norm,RF,1,2,202,0.6089
diabetes,60%,fill_norm,NB,1,1,101,0.5146
diabetes,60%,fill_norm,NB,1,2,202,0.4456
diabetes,60%,fill_norm,XGBoost,1,1,101,0.6568
diabetes,60%,fill_norm,XGBoost,1,2,202,0.6177
diabetes,60%,all,RF,1,1,101,0.6488
diabetes,60%,all,RF,1,2,202,0.6041
diabetes,60%,all,NB,1,1,101,0.5245
diabetes,60%,all,NB,1,2,202,0.4738
diabetes,60%,all,XGBoost,1,1,101,0.654
diabetes,60%,all,XGBoost,1,2,202,0.6312
diabetes,60%,raw,RF,2,1,101,0.6399
diabetes,60%,raw,RF,2,2,202,0.6506
diabetes,60%,raw,NB,2,1,101,0.5292
diabetes,60%,raw,NB,2,2,202,0.5481
diabetes,60%,raw,XGBoost,2,1,101,0.6473
diabetes,60%,raw,XGBoost,2,2,202,0.6522
diabetes,60%,fill,RF,2,1,101,0.6287
diabetes,60%,fill,RF,2,2,202,0.6198
diabetes,60%,fill,NB,2,1,101,0.5438
diabetes,60%,fill,NB,2,2,202,0.5679
diabetes,60%,fill,XGBoost,2,1,101,0.6262
diabetes,60%,fill,XGBoost,2,2,202,0.6379
diabetes,60%,remove_fill,RF,2,1,101,0.6041
diabetes,60%,remove_fill,RF,2,2,202,0.5968
diabetes,60%,remove_fill,NB,2,1,101,0.5774
diabetes,60%,remove_fill,NB,2,2,202,0.5691
diabetes,60%,remove_fill,XGBoost,2,1,101,0.613
diabetes,60%,remove_fill,XGBoost,2,2,202,0.6261
diabetes,60%,fill_norm,RF,2,1,101,0.6283
diabetes,60%,fill_norm,RF,2,2,202,0.6188
diabetes,60%,fill_norm,NB,2,1,101,0.5439
diabetes,60%,fill_norm,NB,2,2,202,0.5678
diabetes,60%,fill_norm,XGBoost,2,1,101,0.6262
diabetes,60%,fill_norm,XGBoost,2,2,202,0.6379
diabetes,60%,all,RF,2,1,101,0.6031
diabetes,60%,all,RF,2,2,202,0.596
diabetes,60%,all,NB,2,1,101,0.5774
diabetes,60%,all,NB,2,2,202,0.5691
diabetes,60%,all,XGBoost,2,1,101,0.613
diabetes,60%,all,XGBoost,2,2,202,0.6261
serce,ORYGINALNY,raw,RF,0,1,101,0.9001
serce,ORYGINALNY,raw,RF,0,2,202,0.8862
serce,ORYGINALNY,raw,NB,0,1,101,0.8451
serce,ORYGINALNY,raw,NB,0,2,202,0.8747
serce,ORYGINALNY,raw,XGBoost,0,1,101,0.8945
serce,ORYGINALNY,raw,XGBoost,0,2,202,0.8737
serce,20%,raw,RF,1,1,101,0.8732
serce,20%,raw,RF,1,2,202,0.8476
serce,20%,raw,NB,1,1,101,0.841
serce,20%,raw,NB,1,2,202,0.8317
serce,20%,raw,XGBoost,1,1,101,0.8558
serce,20%,raw,XGBoost,1,2,202,0.8185
serce,20%,fill,RF,1,1,101,0.8551
serce,20%,fill,RF,1,2,202,0.8464
serce,20%,fill,NB,1,1,101,0.8203
serce,20%,fill,NB,1,2,202,0.8183
serce,20%,fill,XGBoost,1,1,101,0.8317
serce,20%,fill,XGBoost,1,2,202,0.8028
serce,20%,remove_fill,RF,1,1,101,0.8629
serce,20%,remove_fill,RF,1,2,202,0.8572
serce,20%,remove_fill,NB,1,1,101,0.822
serce,20%,remove_fill,NB,1,2,202,0.8397
serce,20%,remove_fill,XGBoost,1,1,101,0.8425
serce,20%,remove_fill,XGBoost,1,2,202,0.8282
serce,20%,fill_norm,RF,1,1,101,0.8548
serce,20%,fill_norm,RF,1,2,202,0.8449
serce,20%,fill_norm,NB,1,1,101,0.7967
serce,20%,fill_norm,NB,1,2,202,0.797
serce,20%,fill_norm,XGBoost,1,1,101,0.8317
serce,20%,fill_norm,XGBoost,1,2,202,0.8028
serce,20%,all,RF,1,1,101,0.8639
serce,20%,all,RF,1,2,202,0.8579
serce,20%,all,NB,1,1,101,0.822
serce,20%,all,NB,1,2,202,0.8397
serce,20%,all,XGBoost,1,1,101,0.8425
serce,20%,all,XGBoost,1,2,202,0.8282
serce,20%,raw,RF,2,1,101,0.8627
serce,20%,raw,RF,2,2,202,0.842
serce,20%,raw,NB,2,1,101,0.825
serce,20%,raw,NB,2,2,202,0.8158
serce,20%,raw,XGBoost,2,1,101,0.8343
serce,20%,raw,XGBoost,2,2,202,0.8385
serce,20%,fill,RF,2,1,101,0.8263
serce,20%,fill,RF,2,2,202,0.8273
serce,20%,fill,NB,2,1,101,0.8122
serce,20%,fill,NB,2,2,202,0.8157
serce,20%,fill,XGBoost,2,1,101,0.8205
serce,20%,fill,XGBoost,2,2,202,0.8157
serce,20%,remove_fill,RF,2,1,101,0.834
serce,20%,remove_fill,RF,2,2,202,0.826
serce,20%,remove_fill,NB,2,1,101,0.8158
serce,20%,remove_fill,NB,2,2,202,0.8083
serce,20%,remove_fill,XGBoost,2,1,101,0.8188
serce,20%,remove_fill,XGBoost,2,2,202,0.8077
serce,20%,fill_norm,RF,2,1,101,0.8263
serce,20%,fill_norm,RF,2,2,202,0.8267
serce,20%,fill_norm,NB,2,1,101,0.8047
serce,20%,fill_norm,NB,2,2,202,0.7999
serce,20%,fill_norm,XGBoost,2,1,101,0.8205
serce,20%,fill_norm,XGBoost,2,2,202,0.8157
serce,20%,all,RF,2,1,101,0.8332
serce,20%,all,RF,2,2,202,0.8262
serce,20%,all,NB,2,1,101,0.8158
serce,20%,all,NB,2,2,202,0.8083
serce,20%,all,XGBoost,2,1,101,0.8188
serce,20%,all,XGBoost,2,2,202,0.8077
serce,40%,raw,RF,1,1,101,0.776
serce,40%,raw,RF,1,2,202,0.7858
serce,40%,raw,NB,1,1,101,0.8005
serce,40%,raw,NB,1,2,202,0.7888
serce,40%,raw,XGBoost,1,1,101,0.778
serce,40%,raw,XGBoost,1,2,202,0.7725
serce,40%,fill,RF,1,1,101,0.7998
serce,40%,fill,RF,1,2,202,0.7798
serce,40%,fill,NB,1,1,101,0.7837
serce,40%,fill,NB,1,2,202,0.7758
serce,40%,fill,XGBoost,1,1,101,0.8215
serce,40%,fill,XGBoost,1,2,202,0.7863
serce,40%,remove_fill,RF,1,1,101,0.7927
serce,40%,remove_fill,RF,1,2,202,0.7657
serce,40%,remove_fill,NB,1,1,101,0.7987
serce,40%,remove_fill,NB,1,2,202,0.7833
serce,40%,remove_fill,XGBoost,1,1,101,0.7968
serce,40%,remove_fill,XGBoost,1,2,202,0.7573
serce,40%,fill_norm,RF,1,1,101,0.7995
serce,40%,fill_norm,RF,1,2,202,0.7786
serce,40%,fill_norm,NB,1,1,101,0.7609
serce,40%,fill_norm,NB,1,2,202,0.7658
serce,40%,fill_norm,XGBoost,1,1,101,0.8215
serce,40%,fill_norm,XGBoost,1,2,202,0.7863
serce,40%,all,RF,1,1,101,0.7929
serce,40%,all,RF,1,2,202,0.7662
serce,40%,all,NB,1,1,101,0.7898
serce,40%,all,NB,1,2,202,0.7845
serce,40%,all,XGBoost,1,1,101,0.7968
serce,40%,all,XGBoost,1,2,202,0.7573
serce,40%,raw,RF,2,1,101,0.7532
serce,40%,raw,RF,2,2,202,0.7235
serce,40%,raw,NB,2,1,101,0.7447
serce,40%,raw,NB,2,2,202,0.7327
serce,40%,raw,XGBoost,2,1,101,0.744
serce,40%,raw,XGBoost,2,2,202,0.7208
serce,40%,fill,RF,2,1,101,0.759
serce,40%,fill,RF,2,2,202,0.7075
serce,40%,fill,NB,2,1,101,0.7405
serce,40%,fill,NB,2,2,202,0.7155
serce,40%,fill,XGBoost,2,1,101,0.7658
serce,40%,fill,XGBoost,2,2,202,0.7162
serce,40%,remove_fill,RF,2,1,101,0.7558
serce,40%,remove_fill,RF,2,2,202,0.6958
serce,40%,remove_fill,NB,2,1,101,0.7477
serce,40%,remove_fill,NB,2,2,202,0.7173
serce,40%,remove_fill,XGBoost,2,1,101,0.771
serce,40%,remove_fill,XGBoost,2,2,202,0.7193
serce,40%,fill_norm,RF,2,1,101,0.7589
serce,40%,fill_norm,RF,2,2,202,0.7071
serce,40%,fill_norm,NB,2,1,101,0.7574
serce,40%,fill_norm,NB,2,2,202,0.7222
serce,40%,fill_norm,XGBoost,2,1,101,0.7658
serce,40%,fill_norm,XGBoost,2,2,202,0.7162
serce,40%,all,RF,2,1,101,0.7535
serce,40%,all,RF,2,2,202,0.6954
serce,40%,all,NB,2,1,101,0.7462
serce,40%,all,NB,2,2,202,0.7172
serce,40%,all,XGBoost,2,1,101,0.771
serce,40%,all,XGBoost,2,2,202,0.7193
serce,60%,raw,RF,1,1,101,0.5968
serce,60%,raw,RF,1,2,202,0.6171
serce,60%,raw,NB,1,1,101,0.5967
serce,60%,raw,NB,1,2,202,0.6022
serce,60%,raw,XGBoost,1,1,101,0.6101
serce,60%,raw,XGBoost,1,2,202,0.6198
serce,60%,fill,RF,1,1,101,0.5406
serce,60%,fill,RF,1,2,202,0.5781
serce,60%,fill,NB,1,1,101,0.6106
serce,60%,fill,NB,1,2,202,0.652
serce,60%,fill,XGBoost,1,1,101,0.5855
serce,60%,fill,XGBoost,1,2,202,0.5948
serce,60%,remove_fill,RF,1,1,101,0.5094
serce,60%,remove_fill,RF,1,2,202,0.5776
serce,60%,remove_fill,NB,1,1,101,0.5872
serce,60%,remove_fill,NB,1,2,202,0.6307
serce,60%,remove_fill,XGBoost,1,1,101,0.5772
