Dataset,PoziomUszkodzen,Metoda,Model,DamageRepeat,CVRepeat,CVSeed,AUC
zapalenia,10%,remove_fill,NB,3,2,202,0.8278
zapalenia,10%,remove_fill,NB,3,3,303,0.8023
zapalenia,10%,remove_fill,MLP,3,1,101,0.6072
zapalenia,10%,remove_fill,MLP,3,2,202,0.5603
zapalenia,10%,remove_fill,MLP,3,3,303,0.5766
zapalenia,10%,remove_fill,XGBoost,3,1,101,0.9103
zapalenia,10%,remove_fill,XGBoost,3,2,202,0.916
zapalenia,10%,remove_fill,XGBoost,3,3,303,0.906
zapalenia,10%,fill_norm,RF,3,1,101,0.9184
zapalenia,10%,fill_norm,RF,3,2,202,0.9172
zapalenia,10%,fill_norm,RF,3,3,303,0.9302
zapalenia,10%,fill_norm,NB,3,1,101,0.5938
zapalenia,10%,fill_norm,NB,3,2,202,0.5798
zapalenia,10%,fill_norm,NB,3,3,303,0.5945
zapalenia,10%,fill_norm,MLP,3,1,101,0.8746
zapalenia,10%,fill_norm,MLP,3,2,202,0.866
zapalenia,10%,fill_norm,MLP,3,3,303,0.8612
zapalenia,10%,fill_norm,XGBoost,3,1,101,0.9126
zapalenia,10%,fill_norm,XGBoost,3,2,202,0.9268
zapalenia,10%,fill_norm,XGBoost,3,3,303,0.927
zapalenia,10%,all,RF,3,1,101,0.9092
zapalenia,10%,all,RF,3,2,202,0.9186
zapalenia,10%,all,RF,3,3,303,0.9104
zapalenia,10%,all,NB,3,1,101,0.809
zapalenia,10%,all,NB,3,2,202,0.8121
zapalenia,10%,all,NB,3,3,303,0.8061
zapalenia,10%,all,MLP,3,1,101,0.8295
zapalenia,10%,all,MLP,3,2,202,0.8766
zapalenia,10%,all,MLP,3,3,303,0.8221
zapalenia,10%,all,XGBoost,3,1,101,0.9103
zapalenia,10%,all,XGBoost,3,2,202,0.916
zapalenia,10%,all,XGBoost,3,3,303,0.906
zapalenia,10%,fill_knn,RF,3,1,101,0.919
zapalenia,10%,fill_knn,RF,3,2,202,0.9267
zapalenia,10%,fill_knn,RF,3,3,303,0.9286
zapalenia,10%,fill_knn,NB,3,1,101,0.6832
zapalenia,10%,fill_knn,NB,3,2,202,0.6647
zapalenia,10%,fill_knn,NB,3,3,303,0.6568
zapalenia,10%,fill_knn,MLP,3,1,101,0.6702
zapalenia,10%,fill_knn,MLP,3,2,202,0.6487
zapalenia,10%,fill_knn,MLP,3,3,303,0.6795
zapalenia,10%,fill_knn,XGBoost,3,1,101,0.9108
zapalenia,10%,fill_knn,XGBoost,3,2,202,0.9194
zapalenia,10%,fill_knn,XGBoost,3,3,303,0.9283
zapalenia,10%,all_knn,RF,3,1,101,0.9045
zapalenia,10%,all_knn,RF,3,2,202,0.926
zapalenia,10%,all_knn,RF,3,3,303,0.9154
zapalenia,10%,all_knn,NB,3,1,101,0.8093
zapalenia,10%,all_knn,NB,3,2,202,0.8126
zapalenia,10%,all_knn,NB,3,3,303,0.8136
zapalenia,10%,all_knn,MLP,3,1,101,0.8386
zapalenia,10%,all_knn,MLP,3,2,202,0.8848
zapalenia,10%,all_knn,MLP,3,3,303,0.868
zapalenia,10%,all_knn,XGBoost,3,1,101,0.9202
zapalenia,10%,all_knn,XGBoost,3,2,202,0.9269
zapalenia,10%,all_knn,XGBoost,3,3,303,0.9136
zapalenia,20%,raw,RF,1,1,101,0.895
zapalenia,20%,raw,RF,1,2,202,0.8973
zapalenia,20%,raw,RF,1,3,303,0.9057
zapalenia,20%,raw,NB,1,1,101,0.5489
zapalenia,20%,raw,NB,1,2,202,0.5503
zapalenia,20%,raw,NB,1,3,303,0.5419
zapalenia,20%,raw,MLP,1,1,101,0.5775
zapalenia,20%,raw,MLP,1,2,202,0.552
zapalenia,20%,raw,MLP,1,3,303,0.52
zapalenia,20%,raw,XGBoost,1,1,101,0.9019
zapalenia,20%,raw,XGBoost,1,2,202,0.8853
zapalenia,20%,raw,XGBoost,1,3,303,0.8998
zapalenia,20%,fill,RF,1,1,101,0.9042
zapalenia,20%,fill,RF,1,2,202,0.903
zapalenia,20%,fill,RF,1,3,303,0.9187
zapalenia,20%,fill,NB,1,1,101,0.6414
zapalenia,20%,fill,NB,1,2,202,0.6323
zapalenia,20%,fill,NB,1,3,303,0.6233
zapalenia,20%,fill,MLP,1,1,101,0.5614
zapalenia,20%,fill,MLP,1,2,202,0.554
zapalenia,20%,fill,MLP,1,3,303,0.5617
zapalenia,20%,fill,XGBoost,1,1,101,0.8876
zapalenia,20%,fill,XGBoost,1,2,202,0.8999
zapalenia,20%,fill,XGBoost,1,3,303,0.9054
zapalenia,20%,remove_fill,RF,1,1,101,0.8923
zapalenia,20%,remove_fill,RF,1,2,202,0.8984
zapalenia,20%,remove_fill,RF,1,3,303,0.9056
zapalenia,20%,remove_fill,NB,1,1,101,0.8015
zapalenia,20%,remove_fill,NB,1,2,202,0.7793
zapalenia,20%,remove_fill,NB,1,3,303,0.8041
zapalenia,20%,remove_fill,MLP,1,1,101,0.6158
zapalenia,20%,remove_fill,MLP,1,2,202,0.4704
zapalenia,20%,remove_fill,MLP,1,3,303,0.5381
zapalenia,20%,remove_fill,XGBoost,1,1,101,0.8784
zapalenia,20%,remove_fill,XGBoost,1,2,202,0.8976
zapalenia,20%,remove_fill,XGBoost,1,3,303,0.9078
zapalenia,20%,fill_norm,RF,1,1,101,0.9044
zapalenia,20%,fill_norm,RF,1,2,202,0.9029
zapalenia,20%,fill_norm,RF,1,3,303,0.9184
zapalenia,20%,fill_norm,NB,1,1,101,0.6227
zapalenia,20%,fill_norm,NB,1,2,202,0.591
zapalenia,20%,fill_norm,NB,1,3,303,0.6068
zapalenia,20%,fill_norm,MLP,1,1,101,0.8628
zapalenia,20%,fill_norm,MLP,1,2,202,0.8718
zapalenia,20%,fill_norm,MLP,1,3,303,0.863
zapalenia,20%,fill_norm,XGBoost,1,1,101,0.8876
zapalenia,20%,fill_norm,XGBoost,1,2,202,0.8999
zapalenia,20%,fill_norm,XGBoost,1,3,303,0.9054
zapalenia,20%,all,RF,1,1,101,0.8923
zapalenia,20%,all,RF,1,2,202,0.8984
zapalenia,20%,all,RF,1,3,303,0.9062
zapalenia,20%,all,NB,1,1,101,0.8446
zapalenia,20%,all,NB,1,2,202,0.8342
zapalenia,20%,all,NB,1,3,303,0.8555
zapalenia,20%,all,MLP,1,1,101,0.8435
zapalenia,20%,all,MLP,1,2,202,0.8263
zapalenia,20%,all,MLP,1,3,303,0.8364
zapalenia,20%,all,XGBoost,1,1,101,0.8784
zapalenia,20%,all,XGBoost,1,2,202,0.8976
zapalenia,20%,all,XGBoost,1,3,303,0.9078
zapalenia,20%,fill_knn,RF,1,1,101,0.8919
zapalenia,20%,fill_knn,RF,1,2,202,0.8938
zapalenia,20%,fill_knn,RF,1,3,303,0.9103
zapalenia,20%,fill_knn,NB,1,1,101,0.6019
zapalenia,20%,fill_knn,NB,1,2,202,0.5918
zapalenia,20%,fill_knn,NB,1,3,303,0.5963
zapalenia,20%,fill_knn,MLP,1,1,101,0.5287
zapalenia,20%,fill_knn,MLP,1,2,202,0.5784
zapalenia,20%,fill_knn,MLP,1,3,303,0.5275
zapalenia,20%,fill_knn,XGBoost,1,1,101,0.8894
zapalenia,20%,fill_knn,XGBoost,1,2,202,0.9008
zapalenia,20%,fill_knn,XGBoost,1,3,303,0.8908
zapalenia,20%,all_knn,RF,1,1,101,0.8782
zapalenia,20%,all_knn,RF,1,2,202,0.8948
